"id_hour","ds_hour","passenger_count"
"0","00:00","64056.0"
"1","01:00","41928.5"
"2","02:00","27346.5"
"3","03:00","17825.0"
"4","04:00","11323.0"
"5","05:00","11859.5"
"6","06:00","28932.5"
"7","07:00","59159.0"
"8","08:00","81746.5"
"9","09:00","93011.0"
"10","10:00","104240.0"
"11","11:00","114814.5"
"12","12:00","125127.5"
"13","13:00","128919.0"
"14","14:00","140730.0"
"15","15:00","145019.0"
"16","16:00","144793.5"
"17","17:00","157129.0"
"18","18:00","166196.5"
"19","19:00","150242.5"
"20","20:00","134385.0"
"21","21:00","139102.0"
"22","22:00","129406.0"
"23","23:00","100719.5"
